qid,pid,score
0,782673,0.56640625
0,1818085,-0.6328125
0,1946307,0.032958984375
0,365688,0.24609375
0,1856589,0.228515625
0,862067,0.006072998046875
0,378235,0.330078125
0,596814,-0.045654296875
0,949955,-0.5078125
0,1685707,-0.01416015625
0,598393,-0.007598876953125
0,1092249,0.10595703125
0,710145,0.0693359375
0,1877226,-0.0986328125
0,642301,-1.90625
0,274951,-1.6875
0,897935,-0.2265625
0,1596940,0.0966796875
0,1809254,-0.1064453125
0,1815003,0.3203125
0,1523801,-0.37109375
0,664113,-0.11376953125
0,1765829,-0.095703125
0,1882966,0.1572265625
0,457932,0.361328125
0,760004,-0.58984375
0,1784841,0.240234375
0,363375,-0.99609375
0,1699965,0.26953125
0,1818806,-0.11767578125
0,1099710,0.185546875
1,1033852,0.0010833740234375
1,1830238,0.1953125
1,341622,-2.296875
1,959051,0.4609375
1,1632985,0.1650390625
1,176681,0.421875
1,568353,0.53125
1,1091975,0.26171875
1,1739121,0.11279296875
1,677611,0.0810546875
1,1208730,-0.427734375
1,329241,-0.14453125
1,1192694,0.1123046875
1,1604047,0.109375
1,328630,0.01422119140625
1,1529109,-0.322265625
1,647425,0.287109375
1,1743301,0.51171875
1,1045626,0.345703125
1,301442,0.3828125
1,350331,-2.53125
1,1299817,0.01092529296875
1,447410,-3.0
2,1558410,0.255859375
2,1102324,0.2255859375
2,676479,0.3125
2,1885306,0.2265625
2,781708,0.166015625
2,1158911,0.09814453125
2,1264928,0.08154296875
2,1118023,0.228515625
2,1751173,0.45703125
2,608725,0.1630859375
2,584609,-0.08935546875
2,840682,0.1474609375
2,1613831,0.035400390625
2,500263,0.2109375
2,524853,0.0283203125
2,1866738,0.0057373046875
2,525998,0.171875
2,1468355,0.265625
2,1826246,0.15625
2,1357761,0.376953125
2,403556,0.23046875
2,890406,0.1611328125
2,331655,0.177734375
2,1496252,0.3203125
2,1218077,0.1826171875
2,115572,-0.11572265625
2,1158959,0.1708984375
2,250194,0.0255126953125
2,1106328,0.27734375
2,863971,-0.08740234375
2,1070930,0.275390625
2,688488,0.01123046875
2,1837126,-0.1513671875
2,1787799,0.166015625
2,206351,0.248046875
2,1567518,0.263671875
2,1745283,-0.07470703125
2,560159,0.2021484375
2,1083396,-0.0137939453125
2,1851297,0.201171875
2,558711,0.2021484375
2,1213795,-0.322265625
2,1089828,0.2060546875
2,736886,0.3203125
2,1550071,-0.08837890625
2,1592046,0.3203125
2,1785879,0.1728515625
2,457168,-0.05322265625
2,667240,0.2431640625
2,1174294,0.068359375
2,1609608,0.1669921875
2,1662813,0.21484375
2,798249,0.2060546875
2,1103441,0.3515625
2,860820,0.1826171875
2,1668313,0.30859375
2,1721813,0.23046875
2,1469067,0.361328125
2,838691,0.16796875
2,819913,0.1494140625
2,1363137,0.1259765625
2,1449936,0.25390625
2,1092377,0.3515625
2,1208207,-0.034912109375
2,1736279,0.1298828125
2,835680,0.2119140625
2,987447,0.1953125
2,1390342,-0.07373046875
2,1063390,0.443359375
2,1501851,0.1689453125
2,359664,0.15234375
2,355204,-0.007171630859375
2,1557123,0.08642578125
2,810225,0.26953125
2,1034794,0.125
2,1251350,0.1982421875
2,832599,-0.007171630859375
2,651536,0.15234375
2,1079549,0.012451171875
2,1527407,0.349609375
2,1613994,-0.2109375
2,1417305,0.049560546875
2,357770,0.265625
2,930262,0.19140625
2,1287378,0.24609375
2,1647758,-0.0380859375
2,1108201,0.051025390625
2,1427836,-0.59375
2,1065066,-0.091796875
2,1457099,0.1533203125
2,1528710,0.00167083740234375
2,1423471,0.37109375
2,1628554,0.2060546875
2,421495,0.302734375
2,319640,0.232421875
2,1192102,0.2138671875
2,1496586,0.2138671875
2,1534834,-0.1923828125
2,1932812,0.2099609375
2,1977111,0.1552734375
2,1579788,0.251953125
2,800655,0.2353515625
2,1324390,0.2021484375
2,907261,-0.13671875
2,1532322,0.357421875
2,1631226,0.2333984375
2,1417109,0.1298828125
2,862441,0.220703125
2,779649,0.2275390625
2,1358601,0.012451171875
2,1579305,-0.01153564453125
2,1102543,0.31640625
2,1049884,0.09814453125
2,1392476,0.3046875
2,691875,0.09423828125
2,1433732,0.251953125
2,1135754,-0.052734375
2,1057847,0.048095703125
2,97832,0.47265625
2,1297732,0.1513671875
2,1636217,-0.007415771484375
2,1472509,0.263671875
2,1435161,-0.049072265625
2,695189,0.1787109375
2,1030626,0.1318359375
2,942877,0.0703125
2,811120,0.1513671875
2,531301,0.4375
2,1035824,0.287109375
2,1641242,0.25
2,945066,-0.5390625
2,1430601,0.0625
2,717465,-0.04248046875
2,1424975,0.1669921875
2,560603,0.2333984375
2,354853,0.1806640625
2,1627366,0.1318359375
2,1511745,0.26953125
2,815281,0.038330078125
2,904271,0.306640625
2,1682039,0.1455078125
2,789501,-0.08447265625
2,1068549,0.234375
2,1308183,0.2890625
2,889865,0.109375
2,403343,0.1806640625
2,1607412,0.259765625
2,1058184,0.0361328125
2,1702299,-0.0693359375
2,1697404,-0.19140625
2,1374413,0.291015625
2,1386617,0.25390625
2,1084088,-0.3984375
2,1817147,0.1103515625
2,1503938,0.2265625
2,1230680,0.1015625
2,1522612,0.0011138916015625
2,458862,0.0201416015625
2,837212,0.0537109375
2,844813,0.08349609375
2,1276058,0.03515625
2,1380282,0.1845703125
2,923178,0.177734375
2,999633,-0.0966796875
2,1066460,0.205078125
2,1416381,0.265625
2,869662,0.2099609375
2,1337594,0.1611328125
2,945271,0.0498046875
2,1849748,0.033935546875
2,1422018,0.2890625
2,1116596,0.044677734375
2,1559068,-0.31640625
2,464105,0.125
2,1329996,-0.1650390625
2,1054600,0.296875
2,485368,0.37109375
2,1475035,0.0101318359375
2,1231531,0.166015625
2,1331594,0.185546875
2,1469336,0.19140625
2,795555,-0.4921875
2,279350,0.193359375
2,1169299,0.201171875
